Original Filename	Sample Name	Glucose Concentration	Time	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 192/67	192.0 / 67.0	81636.976	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 192/68	192.0 / 68.0	150666.1	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 193/67	193.0 / 67.0	32306.97504	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 193/68	193.0 / 68.0	690700.04	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 193/69	193.0 / 69.0	721620.74	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 194/68	194.0 / 68.0	11422.71939	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 194/69	194.0 / 69.0	82881.56438	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 194/70	194.0 / 70.0	22937.28298	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 195/69	195.0 / 69.0	15476.09787	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 195/70	195.0 / 70.0	13049.28	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 195/71	195.0 / 71.0	3215.04	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 196/70	196.0 / 70.0	27958.24	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 196/71	196.0 / 71.0	48414.94	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Citrate 197/71	197.0 / 71.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 117/99	117.0 / 99.0	13711.2	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 118/100	118.0 / 100.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 119/101	119.0 / 101.0	9077.76	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 120/102	120.0 / 102.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 121/103	121.0 / 103.0	189.12	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 117/73	117.0 / 73.0	248974.4419	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 118/73	118.0 / 73.0	5091.198806	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 118/74	118.0 / 74.0	12860.16	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 119/74	119.0 / 74.0	4286.72	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 119/75	119.0 / 75.0	4664.96	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 120/75	120.0 / 75.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 120/76	120.0 / 76.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Succinate 121/76	121.0 / 76.0	730.3881537	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Ribose 5P 229/79	229.0 / 79.0	245922.68	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Ribose 5P 230/79	230.0 / 79.0	93929.6	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Ribose 5P 231/79	231.0 / 79.0	144426.92	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Ribose 5P 232/79	232.0 / 79.0	74860.94	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Ribose 5P 233/79	233.0 / 79.0	47050.56804	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	Ribose 5P 234/79	234.0 / 79.0	955007.34	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 179/179	179.0 / 179.0	172367.2602	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 180/180	180.0 / 180.0	152052.48	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 181/181	181.0 / 181.0	3795433.578	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 182/182	182.0 / 182.0	137080.48	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 183/183	183.0 / 183.0	40408.64	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 184/184	184.0 / 184.0	104583.36	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 185/185	185.0 / 185.0	351384.96	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 179/89	179.0 / 89.0	21622.72	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 180/90	180.0 / 90.0	252.16	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 181/91	181.0 / 91.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 315)	B. [13C-glc] G9 5min	G9	5min	glucose 182/92	182.0 / 92.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	124/ 80 M-1 taurine	124.0 / 80.0	1387510.4	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	128/ 80 M-1 d4 taurine	128.0 / 80.0	266186.4	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate C1-C6 M+0	191.0 / 191.0	31494877.56	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 191/111	191.0 / 111.0	20890732.32	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 192/111	192.0 / 111.0	344630.1994	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 192/112	192.0 / 112.0	1461192.95	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 193/112	193.0 / 112.0	8141927.221	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 193/113	193.0 / 113.0	8155356.769	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 194/113	194.0 / 113.0	744189.35	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 194/114	194.0 / 114.0	1132517.95	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 195/114	195.0 / 114.0	796669.8	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 195/115	195.0 / 115.0	392884.529	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 196/115	196.0 / 115.0	1636366.465	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 196/116	196.0 / 116.0	728902.2	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 197/116	197.0 / 116.0	120738.5511	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 191/67	191.0 / 67.0	1367943.292	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 192/67	192.0 / 67.0	42829.19622	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 192/68	192.0 / 68.0	89578.92959	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 193/67	193.0 / 67.0	16753.37104	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 193/68	193.0 / 68.0	607392.24	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 193/69	193.0 / 69.0	611463.0049	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 194/68	194.0 / 68.0	9424.48	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 194/69	194.0 / 69.0	98216.48	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 194/70	194.0 / 70.0	30072.11762	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 195/69	195.0 / 69.0	27072.19612	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 195/70	195.0 / 70.0	54851.3217	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 195/71	195.0 / 71.0	6808.32	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 196/70	196.0 / 70.0	58816.5	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 196/71	196.0 / 71.0	125891.42	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Citrate 197/71	197.0 / 71.0	12272.37826	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 117/99	117.0 / 99.0	10716.8	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 118/100	118.0 / 100.0	567.36	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 119/101	119.0 / 101.0	5295.36	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 120/102	120.0 / 102.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 121/103	121.0 / 103.0	315.2	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 117/73	117.0 / 73.0	240376.3692	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 118/73	118.0 / 73.0	7606.700333	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 118/74	118.0 / 74.0	17714.24	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 119/74	119.0 / 74.0	15613.49518	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 119/75	119.0 / 75.0	13602.85	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 120/75	120.0 / 75.0	693.44	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 120/76	120.0 / 76.0	441.28	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Succinate 121/76	121.0 / 76.0	3215.04	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 316)	C. [13C-glc] G9 15min	G9	15min	Ribose 5P 229/79	229.0 / 79.0	98028.86	FALSE
