,NA corrected,Label,Sample Name,formula,name
2,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
3,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
4,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
5,0.0,C13_193.0_67.0,T. [13C-glc] G7 30min,C4H3O,Citrate 193/67
6,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
7,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
8,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
9,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
10,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
11,0.0,C13_193.0_67.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 193/67
0,56375.3318593,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
1,47228.5306523,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
2,19355.1038826,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
3,52380.8452894,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
4,46737.6379534,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
5,64213.4484329,C13_196.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/71
6,0.0209803720238,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
7,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
8,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
9,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
10,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
11,0.0,C13_196.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/71
0,9826.6265399,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
1,7294.10666883,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
2,2501.66948527,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
3,7458.05715501,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
4,11347.1849276,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
5,12971.8761818,C13_197.0_71.0,T. [13C-glc] G7 30min,C4H3O,Citrate 197/71
6,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
7,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
8,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
9,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
10,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
11,0.0,C13_197.0_71.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 197/71
0,28705.3613497,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
1,27905.9594108,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
2,10701.5345846,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
3,24619.7095869,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
4,27187.5684545,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
5,34046.0499578,C13_196.0_70.0,T. [13C-glc] G7 30min,C4H3O,Citrate 196/70
6,0.0,C13_196.0_70.0,Q. [13C-glc] G7 0min,C4H3O,Citrate 196/70
