,col_name,Label,Sample Name,formula,name
8,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
9,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
10,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
11,0.0,C13_150.0_132.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 150/132
0,344543.760428,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
1,725185.635428,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
2,434690.719428,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
3,620437.235428,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
4,522090.726928,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
5,723268.868928,C13_148.0_130.0,T. [13C-glc] G7 30min,C5H6NO3,Glutamate 148/130
6,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
7,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
8,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
9,0.0,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
10,4741.9029284,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
11,3328.4194284,C13_148.0_130.0,Q. [13C-glc] G7 0min,C5H6NO3,Glutamate 148/130
0,4012.70071637,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
1,2156.28263437,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
2,1176.46732438,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
3,5666.69086537,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
4,4013.44971437,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
5,4764.37221438,C13_89.0_89.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 89/89
6,0.0,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
7,0.0,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
8,62.453106375,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
9,0.0,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
10,0.0,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
11,0.0,C13_89.0_89.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 89/89
0,132946.792295,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 90/90
1,149505.428995,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 90/90
2,85101.6611147,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 90/90
3,127534.686195,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 90/90
4,158352.417395,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 90/90
5,163572.791595,C13_90.0_90.0,T. [13C-glc] G7 30min,C3H3O3,Pyruvate 90/90
6,0.0,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 90/90
7,0.0,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 90/90
8,0.228994723375,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 90/90
9,0.0,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 90/90
10,0.0,C13_90.0_90.0,Q. [13C-glc] G7 0min,C3H3O3,Pyruvate 90/90
