,Label,Sample Name,Background correction,name,formula
29,C13_137.0_119.0,C. [13C-glc] G9 15min,1155.0,Malate 137/119,C4H3O4
30,C13_137.0_119.0,B. [13C-glc] G9 5min,0.0,Malate 137/119,C4H3O4
31,C13_137.0_119.0,B. [13C-glc] G9 5min,0.0,Malate 137/119,C4H3O4
32,C13_137.0_119.0,B. [13C-glc] G9 5min,1026.0,Malate 137/119,C4H3O4
33,C13_137.0_119.0,B. [13C-glc] G9 5min,116.0,Malate 137/119,C4H3O4
34,C13_137.0_119.0,B. [13C-glc] G9 5min,0.0,Malate 137/119,C4H3O4
35,C13_137.0_119.0,B. [13C-glc] G9 5min,0.0,Malate 137/119,C4H3O4
36,C13_137.0_119.0,D. [13C-glc] G9 30min,15406.0,Malate 137/119,C4H3O4
37,C13_137.0_119.0,D. [13C-glc] G9 30min,17719.0,Malate 137/119,C4H3O4
38,C13_137.0_119.0,D. [13C-glc] G9 30min,20284.0,Malate 137/119,C4H3O4
39,C13_137.0_119.0,D. [13C-glc] G9 30min,18871.0,Malate 137/119,C4H3O4
40,C13_137.0_119.0,D. [13C-glc] G9 30min,16302.0,Malate 137/119,C4H3O4
41,C13_137.0_119.0,D. [13C-glc] G9 30min,20284.0,Malate 137/119,C4H3O4
42,C13_137.0_119.0,F. [13C-glc] G9 120min,50579.0,Malate 137/119,C4H3O4
43,C13_137.0_119.0,F. [13C-glc] G9 120min,51092.0,Malate 137/119,C4H3O4
44,C13_137.0_119.0,F. [13C-glc] G9 120min,45447.0,Malate 137/119,C4H3O4
45,C13_137.0_119.0,F. [13C-glc] G9 120min,32223.0,Malate 137/119,C4H3O4
46,C13_137.0_119.0,F. [13C-glc] G9 120min,29400.0,Malate 137/119,C4H3O4
47,C13_137.0_119.0,F. [13C-glc] G9 120min,25289.0,Malate 137/119,C4H3O4
0,C13_135.0_117.0,E. [13C-glc] G9 60min,138916.0,Malate 135/117,C4H3O4
1,C13_135.0_117.0,E. [13C-glc] G9 60min,168957.0,Malate 135/117,C4H3O4
2,C13_135.0_117.0,E. [13C-glc] G9 60min,191295.0,Malate 135/117,C4H3O4
3,C13_135.0_117.0,E. [13C-glc] G9 60min,129547.0,Malate 135/117,C4H3O4
4,C13_135.0_117.0,E. [13C-glc] G9 60min,120883.0,Malate 135/117,C4H3O4
5,C13_135.0_117.0,E. [13C-glc] G9 60min,115423.0,Malate 135/117,C4H3O4
6,C13_135.0_117.0,"H. [6,6-DD-glc] G9 240min",788.0,Malate 135/117,C4H3O4
7,C13_135.0_117.0,"H. [6,6-DD-glc] G9 240min",2198.0,Malate 135/117,C4H3O4
8,C13_135.0_117.0,"H. [6,6-DD-glc] G9 240min",1302.0,Malate 135/117,C4H3O4
9,C13_135.0_117.0,"H. [6,6-DD-glc] G9 240min",3099.0,Malate 135/117,C4H3O4
10,C13_135.0_117.0,"H. [6,6-DD-glc] G9 240min",1044.0,Malate 135/117,C4H3O4
11,C13_135.0_117.0,"H. [6,6-DD-glc] G9 240min",0.0,Malate 135/117,C4H3O4
12,C13_135.0_117.0,G. [13C-glc] G9 240min,153296.0,Malate 135/117,C4H3O4
13,C13_135.0_117.0,G. [13C-glc] G9 240min,218122.0,Malate 135/117,C4H3O4
14,C13_135.0_117.0,G. [13C-glc] G9 240min,169597.0,Malate 135/117,C4H3O4
15,C13_135.0_117.0,G. [13C-glc] G9 240min,153678.0,Malate 135/117,C4H3O4
16,C13_135.0_117.0,G. [13C-glc] G9 240min,103100.0,Malate 135/117,C4H3O4
17,C13_135.0_117.0,G. [13C-glc] G9 240min,146748.0,Malate 135/117,C4H3O4
18,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 135/117,C4H3O4
19,C13_135.0_117.0,A. [13C-glc] G9 0min,147.0,Malate 135/117,C4H3O4
20,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 135/117,C4H3O4
21,C13_135.0_117.0,A. [13C-glc] G9 0min,401.0,Malate 135/117,C4H3O4
22,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 135/117,C4H3O4
23,C13_135.0_117.0,A. [13C-glc] G9 0min,0.0,Malate 135/117,C4H3O4
24,C13_135.0_117.0,C. [13C-glc] G9 15min,29670.0,Malate 135/117,C4H3O4
25,C13_135.0_117.0,C. [13C-glc] G9 15min,35065.0,Malate 135/117,C4H3O4
26,C13_135.0_117.0,C. [13C-glc] G9 15min,44946.0,Malate 135/117,C4H3O4
27,C13_135.0_117.0,C. [13C-glc] G9 15min,31324.0,Malate 135/117,C4H3O4
28,C13_135.0_117.0,C. [13C-glc] G9 15min,20302.0,Malate 135/117,C4H3O4
29,C13_135.0_117.0,C. [13C-glc] G9 15min,26720.0,Malate 135/117,C4H3O4
30,C13_135.0_117.0,B. [13C-glc] G9 5min,2970.0,Malate 135/117,C4H3O4
31,C13_135.0_117.0,B. [13C-glc] G9 5min,9771.0,Malate 135/117,C4H3O4
32,C13_135.0_117.0,B. [13C-glc] G9 5min,11442.0,Malate 135/117,C4H3O4
33,C13_135.0_117.0,B. [13C-glc] G9 5min,1941.0,Malate 135/117,C4H3O4
34,C13_135.0_117.0,B. [13C-glc] G9 5min,655.0,Malate 135/117,C4H3O4
35,C13_135.0_117.0,B. [13C-glc] G9 5min,1429.0,Malate 135/117,C4H3O4
36,C13_135.0_117.0,D. [13C-glc] G9 30min,102076.0,Malate 135/117,C4H3O4
37,C13_135.0_117.0,D. [13C-glc] G9 30min,126463.0,Malate 135/117,C4H3O4
38,C13_135.0_117.0,D. [13C-glc] G9 30min,140526.0,Malate 135/117,C4H3O4
39,C13_135.0_117.0,D. [13C-glc] G9 30min,122100.0,Malate 135/117,C4H3O4
40,C13_135.0_117.0,D. [13C-glc] G9 30min,115296.0,Malate 135/117,C4H3O4
41,C13_135.0_117.0,D. [13C-glc] G9 30min,110804.0,Malate 135/117,C4H3O4
42,C13_135.0_117.0,F. [13C-glc] G9 120min,145079.0,Malate 135/117,C4H3O4
43,C13_135.0_117.0,F. [13C-glc] G9 120min,148546.0,Malate 135/117,C4H3O4
44,C13_135.0_117.0,F. [13C-glc] G9 120min,150470.0,Malate 135/117,C4H3O4
45,C13_135.0_117.0,F. [13C-glc] G9 120min,124153.0,Malate 135/117,C4H3O4
46,C13_135.0_117.0,F. [13C-glc] G9 120min,100404.0,Malate 135/117,C4H3O4
47,C13_135.0_117.0,F. [13C-glc] G9 120min,74728.0,Malate 135/117,C4H3O4
