,Intensity,Name,Glucose Concentration,Modified,Original Filename,Sample Name,Time,Formula,Parent,Parent_Formula,Label
6900,363571.2,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 176),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6901,251099.7,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 177),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6902,218942.9625,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 178),G. [13C-glc] G9 240min,240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6903,507722.375,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 179),"H. [6,6-DD-glc] G9 240min",240min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6904,431337.859,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 180),A. [13C-glc] G9 0min,0min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6905,376775.3165,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 181),B. [13C-glc] G9 5min,5min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6906,434290.9325,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 182),C. [13C-glc] G9 15min,15min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6907,473834.6085,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 183),D. [13C-glc] G9 30min,30min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6908,298730.158,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 184),E. [13C-glc] G9 60min,60min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
6909,189352.317,Malate 133/115,G9,False,TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 185),F. [13C-glc] G9 120min,120min,C4H3O4,Malate 133/115,C4H5O5,C13_133.0_115.0
